date,headline,sub-headline
1/5/18,Trump Administration Takes Step That Could Threaten Marijuana Legalization Movement,"Federal prosecutors will be given discretion to more aggressively enforce marijuana laws, threatening to undermine the legalization movement at the state level."
1/5/18,"Winter Storm Pounds Northeast With Wind, Snow and Flooding","Airports shut down, schools closed and cars slid off roads during winter’s first major storm. Officials fear the worst is ahead as bone-chilling cold moves in."
1/6/18,Republican Senators Raise Possible Charges Against Author of Trump Dossier,"The first congressional criminal referral in connection with Russian meddling targeted a former British spy, not anyone accused of conspiracy."
1/6/18,"Amid Calls from Trump, F.B.I. Renews Questions Over Clinton Foundation",Career prosecutors shut down the case in 2016 over lack of evidence. The new interest comes as Mr. Trump has taken the highly unusual step of calling for investigations into political rivals.
1/6/18,U.S. Job Market’s Strength Is Allowing More to Share in Pay Gains,"Though wages are growing sluggishly over all, some of the strongest increases are in blue-collar and service industries as employers vie for help."
1/6/18,An Eyelash-Freezing ‘Icy Hell’: The One Spot That Could Feel Like Minus 100,"Frigid air is gripping the East Coast, and furious winds are expected to make it feel as cold as 100 degrees below zero atop Mount Washington in New Hampshire."
1/7/18,"Trump, Defending His Mental Fitness, Says He’s a ‘Very Stable Genius’","Mr. Trump, seeming to respond to revelations in a new book, issued an extraordinary defense of his fitness for office."
1/7/18,"In Clash Between California and Trump, It’s One America Versus Another","The growing divide between California and President Trump erupted this week, over marijuana, immigration, taxes and the environment."
1/7/18,How U.S. Intelligence Agencies Underestimated North Korea,"For decades, they warned the North was making progress on a missile that could reach the United States. But the last breakthroughs happened faster than they expected."
1/7/18,India’s Economic Woes Are Piercing Modi’s Aura of Invulnerability,"Prime Minister Narendra Modi’s policies are being criticized as India’s hot economy cools. But with society so polarized, his Hindu base still appears solid."
1/8/18,Kushner’s Financial Ties to Israel Deepen Even With Mideast Diplomatic Role,An Israeli insurance company’s previously undisclosed $30 million investment in Jared Kushner’s family company could fuel the perception of conflicts of interest.
1/8/18,Bannon Tries Backing Away From Explosive Comments,"Stephen K. Bannon, who is quoted in a new book calling Donald Trump Jr.’s meeting with Russians in 2016 “treasonous,” said that Mr. Trump was “both a patriot and a good man.”"
1/8/18,"Losing Faith in the State, Some Mexican Towns Quietly Break Away","With government often more the problem than the solution, communities are taking matters into their own hands. But gains against crime can carry a cost."
1/8/18,"In New York, Drawing Flood Maps Is a ‘Game of Inches’","As FEMA revises the maps to account for climate change, deciding who is in the flood zone will be a battle with millions of dollars at stake."
1/9/18,"Trump Administration Says That Nearly 200,000 Salvadorans Must Leave",The administration decided that Salvadorans no longer qualified for temporary protection from deportation that had been granted after two devastating earthquakes in 2001.
1/9/18,Fusion GPS Founder Hauled From the Shadows for the Russia Election Investigation,Glenn R. Simpson’s firm quietly compiled the notorious dossier of possible links between President Trump and Russia. Then it became public.
1/9/18,"At J.F.K. Airport, the Planes Just Wouldn’t Stop Coming",Failure to stop arriving international flights after a storm created an epic jet traffic jam at the New York City hub. A burst pipe added to the misery.
1/9/18,"In Deepest Cold, a Subway Car Becomes the Shelter of Last Resort","With temperatures in the single digits over the weekend, the E train turned into a rolling refuge for the homeless."
1/10/18,Trump Appears to Endorse Path to Citizenship for Millions of Immigrants,"President Trump said he would be willing to “take the heat” politically for a sweeping immigration deal, which could alienate some of his supporters."
1/10/18,"Trump’s Negotiation on Immigration, Unfolding on Camera","President Trump and a delegation of lawmakers from both parties engaged in a vigorous discussion of immigration, in effect negotiating legislation in front of the nation."
1/10/18,North Carolina Is Ordered to Redraw Its Congressional Map,The ruling was the first time that a federal court had blocked a congressional map because the judges believed it to be a partisan gerrymander.
1/10/18,North Korea Moves Toward Détente With Seoul,"The announcement that North Korea would participate in the Games was welcomed in the South, but few believed that Mr. Kim was motivated by the Olympic spirit."
1/11/18,House Republicans’ Hard-Line Immigration Stand Clashes With Trump Overture,A new proposal from House Republicans underscored how deep the divisions are between and within the two parties on immigration — just days before a deadline for a deal.
1/11/18,Trump Sidesteps Question on Mueller Interview,"The response was a marked change from June, when President Trump said he would be “100 percent” willing to give a sworn statement to the special counsel."
1/11/18,A Rush to Find Survivors Amid the Mud of Southern California Enclave,More than a dozen people are missing around Montecito in the aftermath of mudslides that killed 17 people and destroyed 100 homes.
1/11/18,What ‘Dreamers’ Say About the Great Immigration Debate,Hundreds of thousands of immigrants are watching anxiously as judges and lawmakers jockey over policy.
1/12/18,Trump Alarms Lawmakers With Disparaging Words for Haiti and Africa,President Trump demanded to know at a White House meeting why he should accept immigrants from Haiti and African countries rather than people from places like Norway.
1/12/18,Victims of California Mudslides Were Swept Away Weeks After Surviving Fires,"The mudslides in Montecito, Calif., wiped out entire blocks, pulling people from their homes and killing at least 18."
1/12/18,Facebook Overhauls News Feed to Focus on What Friends and Family Share,"In the next few weeks, you will see fewer viral videos and news articles from media companies, and instead see more posts that include interactions between you and the people you know."
1/12/18,Trump Administration Says States May Impose Work Requirements for Medicaid,Federal officials said they would support state efforts to require able-bodied adults to work as a condition of eligibility for Medicaid.
1/13/18,"A President Who Fans, Rather Than Douses, the Nation’s Racial Fires","After his latest incendiary comments, the president’s critics say there is no doubt he is a racist. The White House calls such suggestions “insulting.”"
1/13/18,"A Senior Republican Senator Admonishes Trump: ‘America Is an Idea, Not a Race’","The president’s racially charged comments threaten an emerging agreement to project some undocumented immigrants, which risks bringing a government shutdown."
1/13/18,Porn Star Was Reportedly Paid to Stay Quiet About Trump,"The reported $130,000 payment was made shortly before the election. Mr. Trump “vehemently denies” the encounter happened, his lawyer said."
1/13/18,‘Don’t Feed the Troll’: Much of the World Reacts in Anger at Trump’s Insult,Reports that President Trump called Haiti and African nations “shithole countries” drew nearly universal condemnation.
1/14/18,Male Models Say Mario Testino and Bruce Weber Sexually Exploited Them,"Models and assistants described how Mr. Testino and Mr. Weber, two of the most prominent photographers in fashion, used their authority to engage in unwanted sexual behavior."
1/14/18,"As Labor Pool Shrinks, Prison Time Is Less of a Hiring Hurdle",A shortage of candidates is providing opportunities to people long shunned by employers and is forcing recruiters to consider new approaches to hiring.
1/14/18,"In Some Countries, Facebook’s Fiddling Has Magnified Fake News","Last fall, the online giant altered what people in six nations see. Established news sites said their web traffic declined, adding that more bogus stories were shared instead."
1/14/18,Hawaii Panics After Alert About Incoming Missile Is Sent in Error,"The alert appeared on cellphones warning people to “seek immediate shelter,” and said, “This is not a drill.” The authorities said it was a false alarm."
1/15/18,Military Quietly Prepares for a Last Resort: War With North Korea,It’s normal for American commanders to draw up combat plans. But recent exercises signal that the military wants to be ready for options on the Korean Peninsula.
1/15/18,Hopes Dim for DACA Deal as Lawmakers Battle Over Trump’s Immigration Remarks,"Senator David Perdue, who attended the White House meeting, said Senator Richard J. Durbin’s account of President Trump’s language was a “gross misrepresentation.”"
1/15/18,"In Montecito, Enclave of Wealth and Fame, Unimagined Tragedy","Mudslides left the coastal community of Montecito, Calif., in ruins, and rescuers were racing against time on Sunday to find four people still missing."
1/15/18,"In Iran, Protester ‘Suicides’ Stir Anger and Calls for Accountability",A willingness by members of Iran’s mainstream society to dispute official versions of protester deaths suggest that the fallout may be just beginning.
1/16/18,"As Shutdown Talk Rises, Trump’s Immigration Words Pose Risks for Both Parties","The fight over President Trump’s vulgar comment is exposing divisions in both parties, raising the risk of a government shutdown with unknown political consequences."
1/16/18,Democrats Add Momentum to G.O.P. Push to Loosen Banking Rules,"The Senate is poised to approve significant changes to the post-crisis financial law. Some moderate Democrats are supporting the effort, even as their progressive colleagues warn that it’s too risky."
1/16/18,"One Year After Women’s March, More Activism but Less Unity","Women’s March Inc., which organized the event in Washington, has encouraged more protests. But a new group is focused on winning elections, especially in red states."
1/16/18,"To Try to Save Client’s Life, a Lawyer Ignored His Wishes. Can He Do That?",The Supreme Court will decide whether Larry English violated his client’s constitutional rights by telling the jury the man killed three people.
1/17/18,Ex-C.I.A. Officer Suspected of Compromising Chinese Informants Is Arrested,"The arrest of the former officer, Jerry Chun Shing Lee, 53, capped an intense F.B.I. investigation that began around 2012 after the C.I.A. began losing its agents in China."
1/17/18,Pentagon Suggests Countering Devastating Cyberattacks With Nuclear Arms,President Trump has not yet approved a draft strategy that would expand “extreme circumstances” for nuclear retaliation to include a crippling cyberattack.
1/17/18,"Trump Has Perfect Cognitive Test Score, White House Physician Says","But President Trump could benefit from more exercise and losing weight, the presidential physician said after Mr. Trump’s annual physical."
1/17/18,G.O.P. to Use Children’s Health Insurance as Lure for Averting Shutdown,"With no immigration deal in sight, Republicans are eyeing a stopgap bill to keep the government open past Friday, sweetening it with an extension of the child health program."
1/18/18,Olympic Détente Upends U.S. Strategy on North Korea,"For the White House, the budding détente scrambles its strategy of pressuring the North, with sanctions and threats of military action, to give up its nuclear arsenal."
1/18/18,"Trump Was Not ‘Fully Informed’ in Campaign Vows on Wall, Chief of Staff Says",John F. Kelly told Hispanic members of Congress on Wednesday that President Trump’s campaign promises have “evolved” on immigration.
1/18/18,Senate Democrats Make Hard Turn Left in Warming Up for 2020 Race,"The 2020 race for the White House is already unfolding in the Capitol, with no fewer than six Democratic senators angling for their party’s nomination."
1/18/18,"Hunting a C.I.A. Mole, Agents Gambled and Let a Suspect Return to China","Officials hoped it would help solve the mystery of the deaths of C.I.A. informants. Five years later, an arrest has been made but the mystery remains."
1/19/18,"House Passes Short-Term Spending Bill, Setting Up Shutdown Battle in Senate",The successful vote in the House provided only a faint glimmer of hope that a crisis could be averted before government funding expires at midnight on Friday.
1/19/18,The Chaos President vs. His Iron-Fisted Chief of Staff,President Trump’s public airing of grievances with John Kelly was perhaps an inevitable clash between two temperamentally similar but philosophically different alpha males.
1/19/18,Trump Rebuked China for North Korea’s Oil Smuggling. It’s More Complicated.,"The opaque world of the global maritime industry makes it exceedingly difficult to prevent North Korea from obtaining oil, despite sanctions."
1/19/18,2017 Was One of the Hottest Years on Record. And That Was Without El Niño.,"Researchers reported Thursday that 2017 average global temperatures are just below the record set in 2016. The result was surprising because there was no El Niño, the weather pattern usually linked to record-setting heat."
1/20/18,Government Shutdown Begins as Budget Talks Falter in Senate,"Senators from both parties were scrambling for a new deal to reopen the government quickly, possibly just hours after the midnight deadline passed."
1/20/18,How Trump and Schumer Came Close to a Deal Over Cheeseburgers,The deal fell apart later in the day when the president and his chief of staff wanted more concessions on immigration.
1/20/18,Shutdown? It Could Be Forgotten in a Trumpian Flash,"As Democrats pushed the government toward a shutdown, they could take solace in the rapid-fire news cycles of the Trump era. A crisis now may be long forgotten by November."
1/20/18,"One After Another, Athletes Face Larry Nassar and Recount Sexual Abuse",The Olympic gymnasts Jordyn Wieber and Aly Raisman are among dozens of women speaking in a Michigan court this week about sexual abuse from the former team doctor.
1/21/18,Bitter Bickering Muddies the Path to Ending the Government Shutdown,"With the government shut down and the two parties faulting each other, senators from both parties were looking for an agreement to end the crisis."
1/21/18,"Open, Closed or Something in Between: What a Shutdown Looks Like","The vast machinery of the federal government began grinding to a halt, but much of the bureaucracy will stay in motion for a while."
1/21/18,How Corruption and Cronyism in Banking Fueled Iran’s Protests,"Thousands lost their savings in the collapse of shady banks, part of a broader economic system plagued by insider dealing, mismanagement and inefficiency."
1/21/18,Congressman Combating Harassment Settled His Own Misconduct Case,"Representative Patrick Meehan, a Republican member of the House Ethics Committee, used taxpayer money to pay a former aide who had seen him as a father figure before he made unwanted advances."
1/22/18,Government Shutdown Goes Into Monday as Senate Inches Toward Deal,Thousands of federal employees will be furloughed Monday morning even as the outlines of a potential compromise came into focus.
1/22/18,A President Not Sure of What He Wants Complicates the Shutdown Impasse,"Democrats struggle with a president who says he wants to compromise but then is reined in by his own staff, while Republican leaders are loath to guess at his intentions."
1/22/18,"Tiny, Wealthy Qatar Goes Its Own Way, and Pays for It","Among Persian Gulf states, Qatar was the picked-on little sibling. Gas riches and an independent-minded ruling family changed that. Now it’s in the fight of its life."
1/22/18,"Venezuela’s Most-Wanted Rebel Shared His Story, Just Before Death","Óscar Pérez, the police officer who commandeered a helicopter and called on Venezuelans to rise up, spoke with The Times in the days and hours before he was killed."
1/23/18,Government Shutdown Ends After 3 Days of Recriminations,"With a promise that lawmakers would soon take up immigration, Congress approved a short-term spending bill to reopen the government after a brief but heated shutdown."
1/23/18,"Democrats Blink in Shutdown Impasse, Hoping for a Bargain","Senate Democrats believe they are limiting damage from a political miscalculation by surrendering, but doing so has drawn a fierce backlash from the left."
1/23/18,"As Turkey Attacks Kurds in Syria, U.S. Is on the Sideline","Turkish forces continued their attack on the Kurds, America’s closest ally in the war on the Islamic State, with the apparent blessing of Moscow."
1/23/18,"Bonuses Aside, Tax Law’s Trickle-Down Impact Not Yet Clear",Companies are announcing bonuses as a result of the tax cuts but it remains to be seen how much of that money will filter through to workers in the years to come.
1/24/18,"Border Wall ‘Off the Table,’ Schumer Says, as Immigration Progress Unravels","With emotions still hot over the government shutdown, Senate negotiators found themselves back at Square 1 in their efforts to strike an immigration deal."
1/24/18,Sessions Is Questioned as Russia Inquiry Focuses on Obstruction,"The attorney general, as well as James B. Comey, the former F.B.I. director, were questioned in the inquiry into Russia’s election interference and whether President Trump obstructed justice."
1/24/18,School Shooting in Kentucky Was Nation’s 11th of Year. It Was Jan. 23.,"When two students were killed by gunfire in Benton, Ky., Tuesday morning, it was at least the 11th shooting so far this year on school property."
1/24/18,Trump’s Solar Tariffs Are Clouding the Industry’s Future,"At a solar farm in North Carolina, workers are bracing for the effect of a new tariff on imported solar cells and modules."
1/25/18,Larry Nassar Sentencing: ‘I Just Signed Your Death Warrant’,"Dr. Nassar, the former U.S.A. Gymnastics and Michigan State team doctor, was sentenced to 40 to 175 years in prison for sexual abuse."
1/25/18,Trump Says He Is Open to a Path to Citizenship for ‘Dreamers’,"President Trump once again seemed to undercut his administration’s message, saying that he would allow the young illegal immigrants to “morph into” citizens over a period of time."
1/25/18,Trump Says He Is Willing to Speak Under Oath to Mueller,"President Trump said he was willing to speak under oath to the special counsel, appearing to conflate"
1/25/18,"Defeated in Syria, ISIS Fighters Held in Camps Still Pose a Threat",American military officials fear the makeshift camps may repeat a security mistake of the Iraq war even as they have sought to avoid any major responsibility for addressing it.
1/26/18,"Trump Ordered Mueller Fired, but Backed Off When White House Counsel Threatened to Quit",The president ordered the firing last June as he first learned that the special counsel might be investigating whether he had obstructed justice.
1/26/18,Trump Immigration Plan Demands Tough Concessions From Democrats,"If Democrats want relief for young unauthorized immigrants, they would have to accept a border wall and restrictions on low-skilled immigrants joining their families in America."
1/26/18,"Trump and Davos: Not Exactly Best Friends, but Not Enemies Either","Last year, the chieftains at Davos were panicked at the thought of Trump. This year, they welcomed him with somewhat open arms."
1/26/18,10 Monkeys and a Beetle: Inside VW’s Campaign for ‘Clean Diesel’,An experiment that produced false data sheds light on how German automakers financed scientific research to promote their political agenda.
1/28/18,The Follower Factory,Everyone wants to be popular online. Some even pay for it. Inside social media’s black market.
1/28/18,‘It’s a Massacre’: Blast in Kabul Deepens Toll of a Long War,At least 95 were killed and 158 others were wounded when a car bomber drove an ambulance past two checkpoints and detonated explosives.
1/28/18,"In Nassar Case, Michigan State Wanted Famed Ex-Prosecutor to Both Examine and Defend It",Patrick J. Fitzgerald said he found no evidence university employees knew the doctor was molesting patients. Critics say his review was tainted.
1/28/18,"As Gridlock Deepens in Congress, Only Gloom Is Bipartisan",Republicans warn of a dark plot to overthrow the Trump government and Democrats talk of a creeping authoritarianism unchecked by Congress. A near-permanent state of gridlock threatens to diminish American democracy itself.
1/29/18,Oil Boom Gives the U.S. a New Edge in Energy and Diplomacy,"Having survived a slump, shale drilling is surging as prices recover, limiting market upheaval and providing Washington with strategic leeway."
1/29/18,Chuck Close Is Accused of Harassment. Should His Artwork Carry an Asterisk?,"Sexual harassment accusations have scuttled an exhibition of the portraitist’s work. Museums are wrestling with the implications — not just for Mr. Close, but for centuries of artists."
1/29/18,Indian Slavery Once Thrived in New Mexico. Latinos Are Finding Family Ties to It.,The revelations have not only prompted personal reckonings but also fueled a larger debate on Hispanic and Native American identity.
1/29/18,The Subway Is Next Door. Should New Yorkers Pay Extra for That?,Gov. Andrew M. Cuomo has made “value capture” a big part of his plan to salvage the subway by seeking more taxes from property owners near stations.
1/30/18,"Taunted by Trump and Pressured From Above, McCabe Steps Down as F.B.I. Deputy","Andrew G. McCabe’s retirement had been expected, but Monday’s departure was abrupt and unannounced. Republicans have accused Mr. McCabe of being loyal to Hillary Clinton."
1/30/18,House Republicans Vote to Release Secret Memo on Russia Inquiry,"Disregarding Justice Department warnings, the House Intelligence Committee will release a secret memo questioning the origins of the Russia investigation."
1/30/18,Attacks Reveal What U.S. Won’t: Victory Remains Elusive in Afghanistan,"In his State of the Union address, President Trump is expected to promote his strategy to win the war in Afghanistan. He’ll be the third president to do so."
1/30/18,From Annapolis to Congress? These Three Women Know Tough Missions,"The women, who were contemporaries at the Naval Academy, are part of a powerful wave of political activism in the era of President Trump."
1/31/18,First Trump State of the Union Address Makes Appeal for Unity,President Trump asked Democrats to join him in overhauling immigration and rebuilding infrastructure as the Russia investigations are intensifying.
1/31/18,"Trump Can Sell an Improved Economy, but Not Himself",His success at passing tax cuts and the continued progress of the economy he inherited have not changed the dismal views that a sizable majority of Americans hold of their president.
1/31/18,The Real Aim of the Nunes Memo Is the Mueller Investigation,The memo has emerged as the latest attempt by Republicans to portray the actions of the investigators in the Russia inquiry as the real scandal.
1/31/18,"Amazon, Berkshire Hathaway and JPMorgan Team Up to Try to Disrupt Health Care","The three companies will create a new venture with the goal of simplifying coverage for their employees, in a move that unsettled the health care world."
2/1/18,F.B.I. Condemns Push to Release Secret Republican Memo,"The bureau is at odds with President Trump, who wants to see the memo, which is said to accuse the F.B.I. and Justice Department of surveillance abuses, made public."
2/1/18,Trump’s Speech Leaves Two Sides Further Apart Than Ever on Immigration,"If the president believed his State of the Union address would bring the bipartisan agreement he says he seeks any closer, he received little encouragement on Wednesday."
2/1/18,Mueller Zeros In on Story Put Together About Trump Tower Meeting,"Robert S. Mueller III, the special counsel, has pressed witnesses about a statement hastily written last summer aboard Air Force One and wants to know more from President Trump."
2/1/18,Justice Department Dismisses Corruption Case Against Menendez,"The decision will allow Senator Robert Menendez, a Democrat from New Jersey, to run for re-election without having to face a new trial."
2/2/18,Trump Clears Way for Secret Memo’s Release,"The president’s decision not to object to the disclosure of the document pits him against some of his top law enforcement officials, who warned that releasing it put national security at risk."
2/2/18,"As Strongmen Steamroll Their Opponents, U.S. Is Silent","Across the world, autocratic leaders are engaging in increasingly brazen behavior as they dispense with even a fig leaf of democratic practice."
2/2/18,White House Wants Pentagon to Offer More Options on North Korea,"The Pentagon worries that the White House is moving too hastily and that giving the president too many options could increase the odds that he will act, some officials say."
2/2/18,"With Memo, Devin Nunes, Once a Scourge of the Hard Right, Becomes Its Hero","As House Intelligence Committee chairman, Representative Devin Nunes has won praise from party members he once called “lemmings in suicide vests.”"
2/3/18,House Republicans Release Secret Memo Accusing Russia Investigators of Bias,The memo accused senior officials at the F.B.I. and Justice Department of bias in the early stages of the Russia investigation.
2/3/18,How Trump’s Allies Fanned an Ember of Controversy Into Flames of Outrage,"A memo by House Republicans didn’t live up to its billing, but the tactics used to stoke doubts about law enforcement could have a lingering impact on the Russia investigation."
2/3/18,"Stocks Fall to End a Bad Week, and a Boom Begins to Look Shaky","U.S. stocks have ended their worst week since February 2016, as investors worried about rising interest rates after a long market boom."
2/3/18,"Flu Patients Arrive in Droves, and a Hospital Rolls Out the ‘Surge Tent’",The worst flu season in nearly a decade has filled emergency rooms and strained resources at medical centers. Hospitalization and infection rates are among the highest in two decades.
2/4/18,"Secret Alliance: Israel Carries Out Airstrikes in Egypt, With Cairo’s O.K.",Unmarked Israeli aircraft have been pounding Islamist militants in the North Sinai. Israel’s role has been kept secret to prevent a backlash in Egypt.
2/4/18,‘They Can’t Wait to Vote’: Energized Democrats Target Dominant G.O.P. in Statehouses,"Republicans have dominated state governments for almost a decade, but Democrats are exploiting President Trump’s unpopularity in an effort to make inroads in 2018."
2/4/18,"As F.B.I. Took a Year to Pursue the Nassar Case, Dozens Say They Were Molested","The agency was seemingly slowed by jurisdictional issues, and athletes went unwarned that a potential child molester was in their midst."
2/4/18,Trump’s Unparalleled War on a Pillar of Society: Law Enforcement,President Trump has raised fears that he is tearing at the credibility of some of the most important institutions in American life to save himself.
2/5/18,"Thousands of ISIS Fighters Flee in Syria, Many to Fight Another Day","As some militants go into hiding and others slip into Turkey, the flow risks tarnishing American declarations that the Islamic State has been largely defeated."
2/5/18,How Wells Fargo and Federal Reserve Struck Deal to Hold Bank’s Board Accountable,The landmark settlement between Wells Fargo and the Fed shows regulators’ new emphasis on making board members responsible for their institutions’ conduct.
2/5/18,"How Bell Pottinger, P.R. Firm for Despots and Rogues, Met Its End in South Africa","The British firm Bell Pottinger, hired by three brothers now caught up in a nationwide corruption scandal, helped drive racial tensions to levels not felt since apartheid."
2/5/18,Payday Rules Relax on Trump’s Watch After Lobbying by Lenders,"The industry has gone from villain to victor, the result of a lobbying campaign that has culminated in a far friendlier approach by the Consumer Financial Protection Bureau."
2/6/18,"Dow Jones and S.&P. Slide Again, Dropping by More Than 4%",Sharp moves in the stock market come as investors digest the growth prospects for the world and look for signs of inflation.
2/6/18,"Live by the Dow, Die by the Dow? Trump Is Quiet on Market","No president in modern times has connected his political fortunes to the stock market as much as Mr. Trump. But as shares swooned Monday, he avoided any mention of it."
2/6/18,"In Russia Inquiry, Lawyers Tell Trump to Refuse Mueller Interview","The lawyers believe the special counsel lacks standing in some matters, but a refusal would run counter to the president’s statements and raise the specter of a court battle."
2/6/18,An ‘Iceberg’ of Unseen Crimes: Many Cyber Offenses Go Unreported,The country’s crime classification system is antiquated. Police commanders struggle with no data on an array of technology-based crimes.
2/7/18,"The Era of Easy Money Is Ending, and the World Is Bracing for Shocks","As a stock market plunge that began in the United States spread globally, the wild swings underscored how the American economy retains defining influence across the globe."
2/7/18,"Falcon Heavy, in a Roar of Thunder, Carries SpaceX’s Ambition Into Orbit",Elon Musk disrupted the business of sending rockets into space and has now achieved a milestone in spaceflight by launching the most powerful rocket currently operating in the world.
2/7/18,"FEMA Contract Called for 30 Million Meals for Puerto Ricans. 50,000 Were Delivered.","FEMA terminated a big contract with a tiny vendor hired to produce meals for Puerto Rico after Hurricane Maria. Now, Congress is asking questions."
2/7/18,"As Trump Wavers on Libya, an ISIS Haven, Russia Presses On","In the absence of a coherent American policy for Libya, Russia is gaining influence in one of the most dangerous parts of the world."
2/8/18,Senate Leaders Reach Budget Deal to Raise Spending Over Two Years,"The agreement would raise caps on military and domestic spending, clearing the way for lawmakers to pass a spending bill for the rest of the fiscal year."
2/8/18,"Angela Merkel Strikes New Deal With Old Partners, at a High Cost","The agreement, subject to the approval of members of the Social Democratic Party, came at a steep price for the Christian Democrats: giving up the powerful Finance Ministry."
2/8/18,"At 11th Hour, Status of Russian Olympians Remains Uncertain","Two days before the Winter Olympics begin, Russia is trying to get 47 more athletes cleared to compete. They were barred for doping violations."
2/8/18,"Rob Porter, White House Aide, Resigns After Accusations of Abuse","Mr. Porter, the White House staff secretary, said he would leave his job a day after a news account that quoted his two ex-wives accusing him of physical abuse."
2/9/18,Trump Signs Budget Deal to Raise Spending and Reopen Government,"Government funding expired at midnight after Senator Rand Paul of Kentucky held up the Senate’s vote on a budget deal, but both chambers eventually gave their approval."
2/9/18,"It’s Hard to Believe, but Syria’s War Is Getting Even Worse","The conflict has broken into several small wars, and the carnage is reaching a new peak, upending any assumptions it might be nearing an end."
2/9/18,Stocks Plunge as Market Enters ‘Correction’ Territory,"Wall Street, roiled this week by the most turbulence in years, broke from a brief respite on Thursday, entering a market correction."
2/9/18,Republicans Learn to Love Deficit Spending They Once Loathed,"After years of professing fiscal discipline, Republicans are embracing budget deficits as the nation’s debt swells."
2/10/18,Kelly Says He’s Willing to Resign as Abuse Scandal Roils White House,"A resignation by the chief of staff, John F. Kelly, was not considered imminent, but his suggestion reflects the turmoil engulfing President Trump’s staff."
2/10/18,Trump Blocks Release of Memo Rebutting Republican Claims,"President Trump blocked the release of a classified Democratic memo, setting up a potential showdown with Congress over the fate of its contents."
2/10/18,"U.S. Spies, Seeking to Retrieve Cyberweapons, Paid Russian Peddling Trump Secrets","After months of negotiations, the Russian insisted on including information about the president as part of a deal involving stolen hacking tools."
2/10/18,The Era of Fiscal Austerity Is Over. Here’s What Big Deficits Mean for the Economy.,"It depends on whether you look at the short, medium or long term."
2/11/18,Kentucky Rushes to Remake Medicaid as Other States Prepare to Follow,"The state will require many people to work, volunteer or train for a job to qualify for coverage — and to prove it with frequent documentation."
